Tabella 1;;;;;;;;;;;;;;;
Titolo;IT005445306;IT0005548315;IT0004889033;IT0005340929;IT0005566408;IT0005467482;IT0005495731;IT0005584849;IT0005365165;IT0005611055;IT0001278511;IT00055197787;IT0005024234;IT0005383309;
Prezzo Aquisto;95,21;104,67;107,68;102,01;106,03;93,75;101,6;103,5;102,45;102,09;111,69;105,68;104,54;95,02;
Valore nominale ;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
Cedola su base 100;0,5;3,8;4,75;2,8;4,1;0,45;2,8;3,35;3;3;5,25;3,85;3,5;1,35;
Anni;3;3;3;3;3,5;3,5;3,5;3;4;4;4;4;4,5;4,5;
Netto dopo tassazione %;87,5;87,5;87,5;87,5;87,5;87,5;87,5;87,5;87,5;87,5;87,5;87,5;87,5;87,5;
Cedolare lorda %;0,53;3,63;4,41;2,74;3,87;0,48;2,76;3,24;2,93;2,94;4,70;3,64;3,35;1,42;
Cedolare netta %;0,46;3,18;3,86;2,40;3,38;0,42;2,41;2,83;2,56;2,57;4,11;3,19;2,93;1,24;
Rendimento netto (cedola+base) in euro;5,50;5,89;5,75;5,59;7,28;6,85;7,18;5,73;8,36;8,67;8,15;8,51;9,81;9,67;0,00
Rendimento lordo(cedola+base) in euro;6,29;;;;;;;;;;;;;;
% rendimento lordo (cedola+base);6,61;;;;;;;;;;;;;;
%rendimento netto (cedola+base);5,78;5,63;5,34;5,48;6,87;7,30;7,06;5,54;8,16;8,49;7,29;8,05;9,38;10,18;
Rendimento lordo annuo fino a scadenza %;2,20;;;;;;;;;;;;;;
Rendimento netto annuo fino a scadenza%;1,93;1,88;1,78;1,83;1,96;2,09;2,02;1,85;2,04;2,12;1,82;2,01;2,09;2,26;
DATA SCADENZA;15/07/2028;01/08/2028;01/09/2028;01/12/2028;01/02/2029;15/02/2029;15/06/2029;01/07/2029;01/08/2029;01/10/2029;01/11/2029;15/12/2029;01/03/2030;01/04/2030;